ensemble;channel;tmin1;tmin2;tmax1;tmax2;tp;Nmax;
M1;g5_singlet;9;5;15;10;0;1;
M2;g5_singlet;7;6;13;10;0;1;
M3;g5_singlet;7;6;14;10;0;1;
M4;g5_singlet;7;6;13;10;0;1;
M5;g5_singlet;8;5;14;9;0;1;
M1;g5_nonsinglet_FUN;9;7;24;14;1;1;
M2;g5_nonsinglet_FUN;15;7;32;13;1;1;
M3;g5_nonsinglet_FUN;10;8;46;15;1;1;
M4;g5_nonsinglet_FUN;9;8;32;17;1;1;
M5;g5_nonsinglet_FUN;10;9;32;15;1;1;
M1;g5_nonsinglet_AS;9;9;24;15;1;1;
M2;g5_nonsinglet_AS;9;9;32;15;1;1;
M3;g5_nonsinglet_AS;10;8;46;15;1;1;
M4;g5_nonsinglet_AS;8;9;32;15;1;1;
M5;g5_nonsinglet_AS;10;8;32;15;1;1;
M1;g1_nonsinglet_FUN;9;8;24;15;1;1;
M2;g1_nonsinglet_FUN;15;8;32;15;1;1;
M3;g1_nonsinglet_FUN;10;9;46;15;1;1;
M4;g1_nonsinglet_FUN;10;9;32;17;1;1;
M5;g1_nonsinglet_FUN;15;10;32;15;1;1;
M1;g1_nonsinglet_AS;8;8;24;15;1;1;
M2;g1_nonsinglet_AS;8;8;32;15;1;1;
M3;g1_nonsinglet_AS;8;8;46;15;1;1;
M4;g1_nonsinglet_AS;8;9;32;15;1;1;
M5;g1_nonsinglet_AS;10;8;32;15;1;1;
